Periods,Country of residence,,Topic,,The Netherlands,Groningen (PV),Frysl?n (PV),Drenthe (PV),Overijssel (PV),Flevoland (PV),Gelderland (PV),Utrecht (PV),North Holland (PV),South Holland (PV),Zeeland (PV),North Brabant (PV),Limburg (PV)
2012,All countries,,Guests,x 1000,33.353,600,1531,1716,1719,562,3424,1.246,9800,3.862,1885,3.503,3.506
2012,the Netherlands,,Guests,x 1000,21.147,460,1300,1565,1.473,421,3.026,881,3380,2229,1.096,2.633,2.684
2012,Germany,,Guests,x 1000,3.209,69,155,87,99,69,139,70,1.016,507,520,175,302
2012,Belgium,,Guests,x 1000,1.537,13,28,28,53,30,80,49,285,206,220,287,257
2012,United Kingdom,,Guests,x 1000,1662,11,9,13,16,8,45,54,1.086,230,9,99,81
2012,France,,Guests,x 1000,666,4,6,3,9,9,16,23,413,93,9,50,32
2012,Switzerland and Liechtenstein,,Guests,x 1000,228,2,4,1,4,1,7,8,140,31,4,13,11
2012,Italy,,Guests,x 1000,456,4,2,2,4,4,10,17,330,45,2,21,16
2012,Spain,,Guests,x 1000,427,3,1,1,3,1,8,14,321,47,1,17,10
2012,Denmark,,Guests,x 1000,141,3,2,3,8,2,10,6,74,18,1,10,6
2012,Sweden,,Guests,x 1000,143,3,2,1,5,1,6,8,84,19,1,9,5
2012,Other countries Euro zone,,Guests,x 1000,459,5,4,3,6,3,14,19,283,60,11,31,20
2012,Other European countries,,Guests,x 1000,815,9,8,4,16,4,24,32,515,109,7,58,31
2012,America,,Guests,x 1000,1.381,6,5,2,9,2,19,32,1.121,109,3,46,27
2012,Asia,,Guests,x 1000,797,7,4,1,12,4,14,24,539,127,1,46,19
2012,Australia and Oceania,,Guests,x 1000,170,1,1,1,1,1,3,5,137,13,0,4,3
2012,Africa,,Guests,x 1000,114,0,0,1,2,0,3,5,78,18,0,4,3
2013,All countries,,Guests,x 1000,34050,550,1.555,1630,1663,645,3.244,1.284,10.401,4.07,2020,3453,3.533
2013,the Netherlands,,Guests,x 1000,21.267,413,1.287,1.462,1460,474,2.859,925,3.747,2279,1.137,2.528,2.697
2013,Germany,,Guests,x 1000,3495,66,195,100,82,83,138,75,1.146,576,549,171,315
2013,Belgium,,Guests,x 1000,1673,14,32,29,42,33,84,47,323,218,271,298,281
2013,United Kingdom,,Guests,x 1000,1680,14,9,12,13,10,37,55,1.117,237,10,103,64
2013,France,,Guests,x 1000,680,3,5,2,6,9,14,22,438,94,11,48,27
2013,Switzerland and Liechtenstein,,Guests,x 1000,233,2,4,1,4,2,7,8,147,30,5,13,9
2013,Italy,,Guests,x 1000,461,5,2,2,3,12,7,16,327,47,2,26,12
2013,Spain,,Guests,x 1000,395,3,1,1,2,2,6,13,287,50,1,19,9
2013,Denmark,,Guests,x 1000,144,4,3,3,5,1,7,9,70,20,1,11,9
2013,Sweden,,Guests,x 1000,142,2,2,2,4,1,5,8,83,21,1,11,4
2013,Other countries Euro zone,,Guests,x 1000,492,5,4,6,6,4,20,18,289,64,13,40,23
2013,Other European countries,,Guests,x 1000,892,6,5,6,15,5,24,31,552,142,11,66,29
2013,America,,Guests,x 1000,1337,6,4,2,10,4,16,25,1.068,116,5,54,28
2013,Asia,,Guests,x 1000,875,4,2,1,7,4,16,24,599,138,2,55,22
2013,Australia and Oceania,,Guests,x 1000,165,1,1,0,1,0,3,4,129,18,0,5,2
2013,Africa,,Guests,x 1000,121,0,1,1,1,0,3,5,80,22,1,5,2
2014,All countries,,Guests,x 1000,35856,569,1.597,1.705,1718,653,3368,1341,11.318,4376,2.303,3393,3515
2014,the Netherlands,,Guests,x 1000,21.931,415,1.295,1520,1.493,474,2.96,963,3.965,2430,1.276,2.501,2.64
2014,Germany,,Guests,x 1000,3.894,77,224,107,92,80,137,76,1.306,644,641,177,334
2014,Belgium,,Guests,x 1000,1828,12,39,35,47,32,91,55,346,242,314,322,293
2014,United Kingdom,,Guests,x 1000,1857,16,7,16,14,12,44,62,1245,261,12,99,69
2014,France,,Guests,x 1000,725,4,4,3,6,8,14,26,473,102,14,43,26
2014,Switzerland and Liechtenstein,,Guests,x 1000,256,2,4,1,3,2,8,8,166,35,6,11,9
2014,Italy,,Guests,x 1000,503,5,2,3,4,19,9,14,361,51,3,19,12
2014,Spain,,Guests,x 1000,396,4,1,1,3,1,6,11,288,53,2,16,9
2014,Denmark,,Guests,x 1000,141,4,2,4,5,2,8,6,73,19,1,9,8
2014,Sweden,,Guests,x 1000,142,3,2,1,3,1,5,7,88,20,1,8,4
2014,Other countries Euro zone,,Guests,x 1000,525,5,4,4,6,4,15,17,330,69,18,31,21
2014,Other European countries,,Guests,x 1000,928,9,6,6,12,5,29,34,596,138,9,52,31
2014,America,,Guests,x 1000,1.431,7,3,3,8,5,17,26,1.163,121,3,46,29
2014,Asia,,Guests,x 1000,976,4,2,1,21,5,19,27,677,146,2,48,25
2014,Australia and Oceania,,Guests,x 1000,188,1,1,1,1,0,3,3,151,21,0,4,2
2014,Africa,,Guests,x 1000,135,1,1,0,1,0,4,4,91,25,1,5,3
2015,All countries,,Guests,x 1000,37.318,653,1.606,1628,1885,678,3.673,1.416,11640,4.603,2.31,3.562,3664
2015,the Netherlands,,Guests,x 1000,22311,454,1.304,1420,1.595,495,3.196,964,3.938,2.499,1200,2.559,2.688
2015,Germany,,Guests,x 1000,4.283,100,225,123,115,83,168,86,1373,709,691,205,404
2015,Belgium,,Guests,x 1 000,1965,17,36,38,63,34,108,68,331,259,357,350,303
2015,United Kingdom,,Guests,x 1 000,1967,19,7,14,16,12,47,74,1314,276,11,109,67
2015,France,,Guests,x 1 000,750,5,5,3,8,9,18,31,469,115,12,49,27
2015,Switzerland and Liechtenstein,,Guests,x 1 000,271,3,5,1,4,2,8,10,176,36,5,12,10
2015,Italy,,Guests,x 1 000,543,5,2,2,5,16,10,18,384,57,2,29,13
2015,Spain,,Guests,x 1 000,432,5,1,2,4,2,8,16,309,54,2,21,9
2015,Denmark,,Guests,x 1 000,155,4,3,6,5,3,10,7,74,20,1,10,10
2015,Sweden,,Guests,x 1 000,154,3,1,2,4,1,5,9,94,21,1,8,5
2015,Other countries Euro-zone,,Guests,x 1 000,567,8,5,4,10,5,14,21,345,78,15,37,25
2015,Other European countries,,Guests,x 1 000,963,13,5,8,19,4,33,38,587,146,7,69,35
2015,America,,Guests,x 1 000,1508,9,4,2,11,5,22,34,1207,134,3,47,29
2015,Asia,,Guests,x 1 000,1130,6,2,2,23,7,20,31,795,163,1,49,31
